Expression: painstaking work; travail de fourmi
At the very least, you should double-check the directions before heading out.; Au moins, vous devriez vérifier les indications avant de partir.
It's important to have a first aid kit at the very least in case of emergencies.; Il est important d'avoir une trousse de premiers secours au moins en cas d'urgence.
At the very least, she could have said goodbye before leaving.; Au minimum, elle aurait pu dire au revoir avant de partir.
Make sure to wear a helmet at the very least when riding a bike.; Assurez-vous de porter un casque au moins lorsque vous faites du vélo.
At the very least, try to get some rest before the big meeting tomorrow.; Au moins, essayez de vous reposer un peu avant la grande réunion demain.
You should have a basic understanding of the topic at the very least before attending the conference.; Vous devriez avoir au moins une compréhension de base du sujet avant d'assister à la conférence.

Expression: trickle; au compte-gouttes
The water continues to trickle from the faucet, fix it soon; L'eau continue de goutter du robinet, répare-le bientôt
The old clock ticked and tocked with a steady trickle of sound; La vieille horloge tic-taquait avec un son régulier et doux
We could only hear a trickle of information about the new project; Nous ne pouvions entendre qu'un filet d'informations sur le nouveau projet
After the heavy rain, a trickle of water flowed down the street; Après la forte pluie, un mince filet d'eau coulait dans la rue
The desert plants survive by absorbing moisture from the occasional trickle of rain; Les plantes du désert survivent en absorbant l'humidité de l'occasionnel filet de pluie
My excitement was just a trickle compared to the overwhelming joy of winning the championship; Mon excitation n'était qu'un faible tremblement par rapport à la joie écrasante de remporter le championnat
There was a trickle of people entering the museum in the early morning; Il y avait un petit flot de personnes entrant dans le musée tôt le matin
The thief tried to steal a trickle of money from the cash register; Le voleur a tenté de voler un petit montant d'argent de la caisse
The candle burned down, leaving only a trickle of wax on the table; La bougie s'est consumée, ne laissant qu'un mince filet de cire sur la table
The artist added a trickle of red paint to create a striking contrast in the painting; L'artiste a ajouté un léger filet de peinture rouge pour créer un contraste saisissant dans le tableau

Expression: sparingly; au compte-gouttes
She uses salt sparingly, preferring other herbs for flavoring.; Elle utilise le sel avec parcimonie, préférant d'autres herbes pour assaisonner.
He admires the older buildings, but only visits them sparingly.; Il admire les anciens bâtiments, mais ne les visite que rarement.
She only buys designer bags sparingly, opting for more affordable options most of the time.; Elle n'achète que rarement des sacs de marque, préférant des options plus abordables la plupart du temps.
They rationed their food supplies sparingly during the camping trip.; Ils ont rationné leurs provisions de nourriture avec parcimonie lors du voyage de camping.
He sips his coffee sparingly, wanting to savor the rich flavors.; Il sirote son café avec parcimonie, voulant savourer les saveurs riches.
She waters her plants sparingly, making sure not to overdo it.; Elle arrose ses plantes avec parcimonie, veillant à ne pas en faire trop.
He applied the paint sparingly to create a more abstract look.; Il a appliqué la peinture avec parcimonie pour créer un aspect plus abstrait.
They use electricity sparingly to reduce their utility bills.; Ils utilisent l'électricité avec parcimonie pour réduire leurs factures d'énergie.
She budgeted her time sparingly to finish the project ahead of schedule.; Elle a géré son temps avec parcimonie pour terminer le projet en avance.
He answers emails sparingly to stay focused on his work tasks.; Il répond aux emails avec parcimonie pour rester concentré sur ses tâches de travail.

Expression: in dribs and drabs; au compte-gouttes
in dribs and drabs; She managed to finish her project in dribs and drabs, a little bit each day.; Elle a réussi à terminer son projet petit à petit, un peu chaque jour.
on cloud nine; After receiving the good news, she was on cloud nine all day.; Après avoir reçu la bonne nouvelle, elle était aux anges toute la journée.
cost an arm and a leg; The designer handbag cost her an arm and a leg, but she had to have it.; Le sac à main de designer lui a coûté les yeux de la tête, mais elle devait l'avoir.
hit the sack; After a long day at work, he was ready to hit the sack and get some sleep.; Après une longue journée de travail, il était prêt à se mettre au lit pour dormir.
fishing in troubled waters; Instead of focusing on his own project, he was fishing in troubled waters by meddling in others'; affairs.; Au lieu de se concentrer sur son propre projet, il pêchait en eau trouble en se mêlant des affaires des autres.
burn the midnight oil; Before the deadline, she had to burn the midnight oil to finish her report.; Avant la date limite, elle a dû veiller tard pour terminer son rapport.
spill the beans; She promised not to spill the beans about the surprise party happening next week.; Elle a promis de ne pas révéler le pot aux roses sur la fête surprise qui aura lieu la semaine prochaine.
rain cats and dogs; The storm was so intense that it rained cats and dogs all night.; L'orage était si intense qu'il a plu des cordes toute la nuit.
throw in the towel; After struggling for hours with the technical issue, he decided to throw in the towel and ask for help.; Après avoir lutté des heures avec le problème technique, il a décidé de jeter l'éponge et de demander de l'aide.
in hot water; She knew she would be in hot water if she didn't meet the deadline for the project.; Elle savait qu'elle serait dans de beaux draps si elle ne respectait pas la date limite du projet.

Expression: piecemeal; au compte-gouttes
She completed her project piecemeal, tackling one task at a time; Elle a terminé son projet morceau par morceau, en abordant une tâche à la fois.
They slowly painted the house piecemeal, starting with the front door; Ils ont lentement peint la maison petit à petit, en commençant par la porte d'entrée.
The novel was written piecemeal over the course of several years; Le roman a été écrit morceau par morceau au cours de plusieurs années.
He assembled the bookshelf piecemeal, following the instructions carefully; Il a assemblé l'étagère morceau par morceau, en suivant attentivement les instructions.
The team built the bridge piecemeal, segment by segment; L'équipe a construit le pont morceau par morceau, segment par segment.
They fixed the car piecemeal, addressing each issue as it arose; Ils ont réparé la voiture morceau par morceau, en traitant chaque problème au fur et à mesure.
She prepared the meal piecemeal, starting with the appetizer; Elle a préparé le repas morceau par morceau, en commençant par l'entrée.
We renovated the old house piecemeal, room by room; Nous avons rénové la vieille maison morceau par morceau, pièce par pièce.
The puzzle was completed piecemeal, with each piece fitting perfectly; Le puzzle a été terminé morceau par morceau, chaque pièce s'emboîtant parfaitement.
They organized the event piecemeal, securing each element step by step; Ils ont organisé l'événement morceau par morceau, en sécurisant chaque élément étape par étape.

Expression: date; au goût du jour
a piece of cake; a piece of cake
The math test was a piece of cake, I finished it in just 20 minutes.; L'examen de maths était un jeu d'enfant, je l'ai terminé en seulement 20 minutes.
kick the bucket; passer l'arme à gauche
Unfortunately, my old car finally kicked the bucket and now I need a new one.; Malheureusement, ma vieille voiture a finalement passé l'arme à gauche et maintenant j'ai besoin d'une nouvelle.
costs an arm and a leg; coûter les yeux de la tête
Living in this city costs an arm and a leg, but it's worth it for the experience.; Vivre dans cette ville coûte les yeux de la tête, mais cela en vaut la peine pour l'expérience.
hit the nail on the head; toucher dans le mille
She really hit the nail on the head with her explanation of the problem.; Elle a vraiment touché dans le mille avec son explication du problème.
butter someone up; cirer les pompes
He's always buttering up the boss to get ahead in the company.; Il passe son temps à cirer les pompes du patron pour avancer dans la société.
pull someone's leg; mener en bateau
I was just pulling your leg, I didn't actually break your phone.; Je te menais en bateau, je n'ai pas réellement cassé ton téléphone.
spill the beans; vendre la mèche
She accidentally spilled the beans about the surprise party to the birthday girl.; Elle a involontairement vendu la mèche sur la fête surprise à la jeune fille d'anniversaire.
hit the hay; aller au pieu
After a long day of work, I can't wait to hit the hay and get some sleep.; Après une longue journée de travail, j'ai hâte d'aller au pieu et de dormir.
barking up the wrong tree; chercher midi à quatorze heures
If you think I stole your pen, you're barking up the wrong tree because I was not even here yesterday.; Si tu penses que j'ai volé ton stylo, tu cherches midi à quatorze heures car je n'étais même pas là hier.

Expression: updated; au goût du jour
updated;  The app was recently updated with new features and improvements.; L'application a été récemment mise à jour avec de nouvelles fonctionnalités et améliorations.
an arm and a leg;  The designer handbag costs an arm and a leg, but it's worth every penny.; Le sac à main de designer coûte les yeux de la tête, mais il vaut chaque centime.
break a leg;  Break a leg at the audition tomorrow, I know you'll do great!; Casse une jambe à l'audition demain, je sais que tu seras super!
hit the nail on the head;  Sarah hit the nail on the head with her assessment of the situation.; Sarah a mis dans le mille avec son évaluation de la situation.
until the cows come home;  You can study until the cows come home, but you still won't understand unless you ask questions.; Tu peux étudier jusqu'à la nuit des temps, mais tu ne comprendras toujours pas à moins que tu ne poses des questions.
raining cats and dogs;  It's raining cats and dogs outside, so we'll have to cancel our picnic.; Il pleut des cordes dehors, donc nous devrons annuler notre pique-nique.
a piece of cake;  The race was a piece of cake for the experienced runner, she finished with ease.; La course était un jeu d'enfant pour la coureuse expérimentée, elle a terminé sans difficulté.
cost an arm and a leg;  Buying organic produce might cost an arm and a leg, but it's worth it for your health.; Acheter des produits biologiques peut coûter les yeux de la tête, mais c'est bon pour votre santé.
barking up the wrong tree;  If you think I took your book, you're barking up the wrong tree - I haven't even read it.; Si tu penses que j'ai pris ton livre, tu vises complètement à côté - je ne l'ai même pas lu.
a drop in the bucket;  The donation was generous, but it was just a drop in the bucket compared to what's needed.; La donation était généreuse, mais ce n'est qu'une goutte d'eau par rapport à ce qui est nécessaire.

Expression: at a discount; au rabais
The shoes were at a discount, so I bought two pairs.; Les chaussures étaient en solde, alors j'en ai acheté deux paires.
Shopping during sales season is a great opportunity to find items at a discount.; Faire du shopping pendant la période de soldes est une excellente occasion de trouver des articles en promotion.
The bookstore is offering all novels at a discount this week.; La librairie propose tous les romans en promotion cette semaine.
I got this dress at a discount and it looks fabulous on me.; J'ai acheté cette robe en solde et elle me va à ravir.
The restaurant is offering all its dishes at a discount for lunch.; Le restaurant propose tous ses plats en promotion pour le déjeuner.
My favorite bakery is selling cakes at a discount today.; Ma boulangerie préférée vend des gâteaux en promotion aujourd'hui.
Buying in bulk at a discount store can save you a lot of money.; Acheter en gros dans un magasin discount peut vous faire économiser beaucoup d'argent.
I always wait for the end-of-season sales to buy clothes at a discount.; J'attends toujours les soldes de fin de saison pour acheter des vêtements en promotion.
The electronics store is offering all its gadgets at a discount for a limited time.; Le magasin d'électronique propose tous ses gadgets en promotion pour une durée limitée.
You can find some great deals on furniture at discount stores.; Vous pouvez trouver de bonnes affaires sur les meubles dans les magasins discount.

Expression: on the cheap; au rabais
on the cheap; à bon marché
He bought that shirt on the cheap, but it fell apart after one wash.; Il a acheté cette chemise à bon marché, mais elle s'est déchirée après un lavage.

by the book; selon les règles
She always follows the rules and does things by the book.; Elle suit toujours les règles et fait les choses selon les règles.

to no avail; en vain
They searched for hours, but to no avail, the keys were nowhere to be found.; Ils ont cherché pendant des heures, mais en vain, les clés étaient introuvables.

in the nick of time; juste à temps
He arrived in the nick of time to catch the last train.; Il est arrivé juste à temps pour prendre le dernier train.

come rain or shine; qu'il pleuve ou qu'il fasse beau
She promised to be there for me, come rain or shine.; Elle a promis d'être là pour moi, qu'il pleuve ou qu'il fasse beau.

behind closed doors; à huis clos
The meeting was held behind closed doors to discuss confidential matters.; La réunion s'est tenue à huis clos pour discuter de questions confidentielles.

as luck would have it; par chance
As luck would have it, she found the lost wallet just before the owner reported it missing.; Par chance, elle a retrouvé le portefeuille perdu juste avant que le propriétaire ne le signale.

through thick and thin; dans les bons et les mauvais moments
She stood by her best friend through thick and thin, always offering support.; Elle est restée aux côtés de sa meilleure amie dans les bons et les mauvais moments, lui offrant toujours son soutien.

beyond reproach; irréprochable
Her work ethic is beyond reproach, she always gives her best effort.; Son éthique de travail est irréprochable, elle donne toujours le meilleur d'elle-même.

beyond the shadow of a doubt; hors de tout doute
The evidence presented in court proved his innocence beyond the shadow of a doubt.; Les preuves présentées au tribunal ont prouvé son innocence hors de tout doute.

Expression: go a long way; aller loin
It took a lot of hard work, but his determination will go a long way; Il a beaucoup travaillé, mais sa détermination va loin.
Having a positive attitude can go a long way in making difficult situations easier to handle; Avoir une attitude positive peut aider énormément à gérer les situations difficiles.
His generosity and kindness will go a long way in building strong relationships; Sa générosité et sa gentillesse contribueront beaucoup à créer des liens forts.
Obtaining a college degree can go a long way in opening up career opportunities; Obtenir un diplôme d'université peut beaucoup aider à ouvrir des opportunités professionnelles.
She believes that a healthy lifestyle can go a long way in preventing illness; Elle croit qu'un mode de vie sain peut grandement contribuer à prévenir les maladies.
A little effort each day can go a long way in achieving your goals; Un petit effort chaque jour peut vous aider grandement à atteindre vos objectifs.
The mentorship he received early in his career has gone a long way in shaping his success; Le mentorat qu'il a reçu au début de sa carrière a beaucoup contribué à façonner son succès.
She knows that saving money now will go a long way in providing financial security in the future; Elle sait que économiser de l'argent maintenant contribuera grandement à assurer la sécurité financière à l'avenir.
Regular exercise and a balanced diet can go a long way in improving overall health; Faire de l'exercice régulièrement et adopter une alimentation équilibrée peuvent beaucoup aider à améliorer la santé globale.
His creative vision and innovative ideas have gone a long way in shaping the company's success; Sa vision créative et ses idées novatrices ont beaucoup contribué à façonner le succès de l'entreprise.

Expression: go away; aller loin
go away; And then, he finally decided to go away; Et puis, il a enfin décidé de partir
He refused to go away until he had finished the conversation; Il a refusé de partir tant qu'il n'avait pas fini la conversation
I just want him to go away and leave me alone; Je veux juste qu'il parte et me laisse tranquille
She told everyone to go away and give her some space; Elle a dit à tout le monde de partir et de lui donner de l'espace
Go away and don't come back until you've calmed down; Pars et ne reviens pas tant que tu ne t'es pas calmé
He asked his little sister to go away while he played with his friends; Il a demandé à sa petite sœur de partir pendant qu'il jouait avec ses amis
Go away and let me handle this situation, please; Pars et laisse-moi gérer cette situation, s'il te plaît
It's important to go away and take a break when you're feeling overwhelmed; Il est important de partir et de faire une pause lorsque vous vous sentez dépassé

Expression: at top speed; à toute allure
Her car raced down the highway at top speed, overtaking all the other vehicles.; Sa voiture a filé sur l'autoroute à toute vitesse, dépassant tous les autres véhicules.
He sprinted at top speed to catch the last train of the day.; Il a sprinté à toute vitesse pour attraper le dernier train de la journée.
The emergency responders arrived at the scene at top speed, ready to assist those in need.; Les secouristes sont arrivés sur les lieux à toute vitesse, prêts à porter assistance à ceux qui en avaient besoin.
The athlete ran at top speed to cross the finish line first.; L'athlète a couru à toute vitesse pour franchir la ligne d'arrivée en premier.
She typed the report at top speed to meet the deadline.; Elle a tapé le rapport à toute vitesse pour respecter la date limite.
The cheetah sprinted across the African savannah at top speed, hunting for prey.; Le guépard a sprinté à travers la savane africaine à toute vitesse, à la recherche de proie.
The motorcyclist zoomed down the empty road at top speed, feeling the wind against his face.; Le motocycliste a filé à toute vitesse sur la route vide, sentant le vent sur son visage.
The delivery driver drove at top speed to make sure the packages arrived on time.; Le livreur a roulé à toute vitesse pour s'assurer que les colis arrivaient à temps.
The children raced each other at top speed to see who would reach the playground first.; Les enfants se sont lancés une course à toute vitesse pour voir qui arriverait le premier au terrain de jeu.
The boat glided across the water at top speed, leaving a trail of foam behind.; Le bateau a glissé sur l'eau à toute vitesse, laissant une traînée d'écume derrière lui.

Expression: to all intents and purposes; à toutes fins utiles
to all intents and purposes; as far as I'm concerned, the project is completed.; pour toutes fins utiles, le projet est terminé.
a drop in the bucket; $100 is just a drop in the bucket for this project.; 100 $ ne sont qu'une goutte d'eau dans l'océan pour ce projet.
to go the extra mile; we always go the extra mile to ensure customer satisfaction.; nous faisons toujours un effort supplémentaire pour garantir la satisfaction du client.
like a fish out of water; he felt like a fish out of water at the formal event.; il se sentait comme un poisson hors de l'eau lors de l'événement formel.
beyond the shadow of a doubt; his guilt was proven beyond the shadow of a doubt.; sa culpabilité a été prouvée hors de tout doute.
the cream of the crop; only the cream of the crop gets selected for this prestigious award.; seuls la crème de la crème est sélectionnée pour ce prix prestigieux.
a turning point; getting accepted into that university was a turning point in her life.; être accepté dans cette université a été un moment crucial de sa vie.
out of the woods; the patient is out of the woods after a successful surgery.; le patient est sorti d'affaire après une opération réussie.
come rain or shine; she promised to be there, come rain or shine.; elle a promis d'être là, qu'il pleuve ou qu'il fasse beau.
without a shadow of a doubt; she knew, without a shadow of a doubt, that it was the right decision.; elle savait, sans l'ombre d'un doute, que c'était la bonne décision.

Expression: foolproof; à toute épreuve
The security system is foolproof and ensures maximum protection for our data.; Le système de sécurité est infaillible et assure une protection maximale de nos données.
Following the recipe step by step made cooking the dish foolproof even for beginners.; Suivre la recette étape par étape a rendu la cuisine du plat infaillible même pour les débutants.
His plan to win the game was foolproof and left no room for error.; Son plan pour gagner le jeu était infaillible et ne laissait aucune place à l'erreur.
The professor's explanation was foolproof, and all students understood the concept easily.; L'explication du professeur était infaillible, et tous les étudiants ont facilement compris le concept.
Her foolproof method for organizing her schedule saved her a lot of time and stress.; Sa méthode infaillible pour organiser son emploi du temps lui a fait gagner beaucoup de temps et de stress.
The safety features in the car were designed to be foolproof and prevent accidents at all costs.; Les dispositifs de sécurité de la voiture ont été conçus pour être infaillibles et prévenir les accidents à tout prix.
The new software update was advertised as foolproof, making it easy for anyone to use.; La nouvelle mise à jour logicielle a été annoncée comme infaillible, la rendant facile à utiliser pour n'importe qui.
The foolproof instructions on assembling the furniture made the task quick and efficient.; Les instructions infaillibles pour assembler les meubles ont rendu la tâche rapide et efficace.
The watch manufacturer ensures that their watches are foolproof against water damage, even in extreme conditions.; Le fabricant de montres s'assure que leurs montres sont infaillibles contre les dommages causés par l'eau, même dans des conditions extrêmes.

Expression: unfailing; à toute épreuve
unfailing; His unfailing support has always helped me through tough times.; Son soutien infaillible m'a toujours aidé à traverser les moments difficiles.
unfailing; Her unfailing dedication to her work is truly admirable.; Son dévouement infaillible à son travail est vraiment admirable.
unfailing; The unfailing loyalty of my dog never fails to lift my spirits.; La loyauté inébranlable de mon chien ne manque jamais de me remonter le moral.
unfailing; Their unfailing optimism is contagious and uplifting.; Leur optimisme infaillible est contagieux et stimulant.
unfailing; The unfailing kindness of strangers restored his faith in humanity.; La gentillesse infaillible des inconnus lui a redonné confiance en l'humanité.
unfailing; His unfailing sense of humor brings lightness to every situation.; Son sens de l'humour infaillible apporte de la légèreté à chaque situation.
unfailing; Despite the challenges, her unfailing determination propelled her towards success.; Malgré les défis, sa détermination infaillible l'a propulsée vers le succès.
unfailing; The unfailing generosity of the community helped rebuild the school after the fire.; La générosité infaillible de la communauté a permis de reconstruire l'école après l'incendie.
unfailing; The unfailing beauty of the sunset never fails to take my breath away.; La beauté infaillible du coucher de soleil ne manque jamais de me couper le souffle.
unfailing; The unfailing support of her family gave her the strength to overcome her fears.; Le soutien infaillible de sa famille lui a donné la force de surmonter ses peurs.

Expression: ironclad; à toute épreuve
The argument was ironclad, supported by solid evidence.; L'argument était inattaquable, soutenu par des preuves solides.
The contract had ironclad clauses to protect both parties.; Le contrat contenait des clauses sans faille pour protéger les deux parties.
She had an ironclad commitment to her fitness routine.; Elle avait un engagement indéfectible envers sa routine de fitness.
The security measures were ironclad to prevent any breaches.; Les mesures de sécurité étaient inébranlables pour éviter toute intrusion.
He made an ironclad promise to always be there for her.; Il a fait une promesse infaillible d'être toujours là pour elle.
The fortress had ironclad defenses to withstand any attack.; La forteresse avait des défenses inébranlables pour résister à toute attaque.
The new law had ironclad provisions for protecting the environment.; La nouvelle loi comportait des dispositions inattaquables pour protéger l'environnement.
Her determination was ironclad, nothing could shake her resolve.; Sa détermination était inébranlable, rien ne pouvait ébranler sa résolution.
The company had an ironclad reputation for quality and reliability.; L'entreprise avait une réputation inattaquable en matière de qualité et de fiabilité.
Their friendship was ironclad, tested through thick and thin.; Leur amitié était inébranlable, testée à travers les hauts et les bas.

Expression: heavy-duty; à toute épreuve
heavy-duty;The heavy-duty machinery was able to handle the toughest tasks with ease.;La machinerie robuste était capable de gérer les tâches les plus difficiles sans effort.
on cloud nine;After receiving the scholarship, she felt like she was on cloud nine.;Après avoir reçu la bourse, elle se sentait sur un petit nuage.
a piece of cake;Learning to swim was a piece of cake for her, she caught on quickly.;Apprendre à nager était du gâteau pour elle, elle a vite compris.
une pierre deux coups;En achetant ce sac, j'ai fait d'une pierre deux coups, il va avec tout.;By buying this bag, I hit two birds with one stone, it goes with everything.
apple of my eye;His daughter is the apple of his eye, he adores her with all his heart.;Sa fille est la prunelle de ses yeux, il l'adore de tout son cœur.
coup de foudre;It was love at first sight when they met, a true coup de foudre.;Ce fut le coup de foudre dès le premier regard lorsqu'ils se sont rencontrés.
butterflies in my stomach;Before giving the presentation, she had butterflies in her stomach.;Avant de faire la présentation, elle avait des papillons dans le ventre.
un coup de main;I could use a helping hand to move the furniture, could you lend me un coup de main?;Je pourrais utiliser un coup de main pour déplacer les meubles, pourrais-tu m'en donner un?
bear fruit;After months of hard work, their efforts finally began to bear fruit.;Après des mois de travail acharné, leurs efforts ont enfin commencé à porter leurs fruits.
coup de grâce;Her resignation was the final blow, the coup de grâce to the struggling company.;Sa démission a été le coup de grâce pour l'entreprise en difficulté.

Expression: bulletproof; à toute épreuve
bulletproof;The bulletproof vest saved the police officer's life during the shootout.; Le gilet pare-balles a sauvé la vie de l'agent de police lors de la fusillade.
butterflies in my stomach;I always get butterflies in my stomach before giving a presentation.; J'ai toujours des papillons dans le ventre avant de faire une présentation.
to hit the nail on the head;Sarah's analysis hit the nail on the head and solved the problem.; L'analyse de Sarah a visé juste et a résolu le problème.
to let the cat out of the bag;I can't believe you let the cat out of the bag about the surprise party!; Je n'arrive pas à croire que tu as vendu la mèche sur la fête surprise !
to kill two birds with one stone;By working from home, I can kill two birds with one stone and spend more time with my family.; En travaillant à domicile, je peux faire d'une pierre deux coups et passer plus de temps avec ma famille.
to have a heart of gold;Despite his tough exterior, Tom has a heart of gold.; Malgré son extérieur dur, Tom a un cœur en or.
break a leg;Break a leg on your audition tomorrow, I know you'll do great!; Bonne chance pour ton audition demain, je sais que tu vas être génial !
the apple of my eye;My daughter is the apple of my eye, I cherish every moment with her.; Ma fille est la prunelle de mes yeux, je chéris chaque moment passé avec elle.
to hit the hay;After a long day at work, I'm ready to hit the hay and get some rest.; Après une longue journée de travail, je suis prêt à me mettre au lit et me reposer.
to cost an arm and a leg;The designer handbag she wanted cost an arm and a leg, so she decided not to buy it.; Le sac à main de designer qu'elle voulait coûtait les yeux de la tête, donc elle a décidé de ne pas l'acheter.

Expression: full steam ahead; à toute vapeur
The ship moved at full steam ahead towards its destination; Le navire avançait à pleine vapeur en direction de sa destination.
She tackled the project with full steam ahead and completed it ahead of schedule; Elle a abordé le projet à pleine vapeur et l'a terminé en avance sur le planning.
The team decided to go full steam ahead with their ambitious expansion plans; L'équipe a décidé d'aller de l'avant avec ses ambitieux projets d'expansion.
After receiving approval, the construction project moved forward at full steam ahead; Après avoir reçu l'approbation, le projet de construction a avancé à plein régime.
The new product launch was a huge success, and the company decided to go full steam ahead with marketing efforts; Le lancement du nouveau produit a été un énorme succès, et la société a décidé d'aller de l'avant avec ses efforts de marketing.
Despite facing challenges, the team continued at full steam ahead to meet the deadline; Malgré les défis, l'équipe a continué à avancer à pleine vapeur pour respecter le délai.
With the new investment secured, the company moved full steam ahead on its expansion plans; Avec le nouvel investissement sécurisé, l'entreprise a avancé à pleine vapeur sur ses plans d'expansion.
The athletes sprinted full steam ahead towards the finish line; Les athlètes ont sprinté à pleine vapeur vers la ligne d'arrivée.
The project manager urged the team to move full steam ahead to catch up on lost time; Le chef de projet a exhorté l'équipe à avancer à pleine vapeur pour rattraper le temps perdu.
The train accelerated at full steam ahead as it departed the station; Le train a accéléré à pleine vapeur en quittant la gare.

Expression: at full steam; à toute vapeur
The train is moving at full steam, trying to reach its destination on time.; Le train avance à toute vapeur, essayant d'arriver à destination à l'heure.
With all the preparations completed, the event is now running at full steam.; Avec toutes les préparations achevées, l'événement se déroule maintenant à toute vitesse.
The chef was cooking at full steam in the kitchen, preparing for the dinner rush.; Le chef cuisinait à pleine vapeur dans la cuisine, se préparant à l'affluence du dîner.
The factory workers are working at full steam to meet the production deadline.; Les ouvriers de l'usine travaillent à plein régime pour respecter la date limite de production.
The competitors were running at full steam, trying to win the marathon race.; Les concurrents couraient à toute vapeur, essayant de remporter la course de marathon.
The project team is working at full steam to complete the assignment before the deadline.; L'équipe du projet travaille à pleine vapeur pour achever l'attribution avant la date limite.
The musician played the instrument at full steam, captivating the audience with their performance.; Le musicien jouait l'instrument à pleine puissance, captivant le public avec sa prestation.
The sales team is promoting the new product at full steam, aiming to increase market penetration.; L'équipe de ventes promeut le nouveau produit à plein régime, visant à augmenter la pénétration du marché.
The students were studying at full steam to prepare for the upcoming exam.; Les étudiants étudiaient à pleine vapeur pour se préparer à l'examen à venir.
The athletes were training at full steam, pushing themselves to improve their performance.; Les athlètes s'entraînaient à toute vapeur, se poussant pour améliorer leur performance.

Expression: at full speed; à toute vapeur
The car was driving at full speed down the highway; La voiture roulait à toute vitesse sur l'autoroute
The runner sprinted at full speed towards the finish line; Le coureur a sprinté à toute vitesse vers la ligne d'arrivée
The skateboarder zoomed down the hill at full speed; Le skateur dévalait la colline à toute vitesse
The children ran at full speed to catch the ice cream truck; Les enfants ont couru à toute vitesse pour attraper le camion de crème glacée
The train thundered past at full speed, shaking the ground; Le train est passé à toute vitesse, faisant trembler le sol
The motorcyclist raced at full speed around the track; Le motard a roulé à toute vitesse sur la piste
The cheetah sprinted at full speed to catch its prey; Le guépard a sprinté à toute vitesse pour attraper sa proie
The boat sailed at full speed across the open ocean; Le bateau naviguait à toute vitesse à travers l'océan ouvert
The football player charged at full speed towards the goal; Le footballeur a chargé à toute vitesse vers le but
The airplane soared through the sky at full speed; L'avion a filé à toute vitesse à travers le ciel

Expression: for all intents and purposes; à toutes fins utiles
for all intents and purposes; pour tous les effets et les fins
For all intents and purposes, the project is complete, we just need to submit the paperwork.; Pour tous les effets et les fins, le projet est terminé, il suffit juste de soumettre la paperasse.
It's all set up, for all intents and purposes, we're ready to go.; Tout est prêt, pour tous les effets et les fins, nous sommes prêts à partir.

at the drop of a hat; au moindre prétexte
He's always ready to help, he'll do it at the drop of a hat.; Il est toujours prêt à aider, il le fera au moindre prétexte.
She gets angry at the drop of a hat, you need to be careful around her.; Elle se fâche au moindre prétexte, il faut être prudent autour d'elle.

out of the blue; de nulle part
The news came out of the blue, nobody was expecting it.; Les nouvelles sont arrivées de nulle part, personne ne s'y attendait.
He received an invitation out of the blue, it was a pleasant surprise.; Il a reçu une invitation de nulle part, c'était une agréable surprise.

cost an arm and a leg; coûter les yeux de la tête
The designer handbag cost her an arm and a leg, but she just had to have it.; Le sac à main de designer lui a coûté les yeux de la tête, mais elle devait absolument l'avoir.
The repairs to the car are going to cost an arm and a leg, we need to find a cheaper option.; Les réparations de la voiture vont coûter les yeux de la tête, il faut trouver une option moins chère.

Expression: for all practical purposes; à toutes fins utiles
for all practical purposes; pour toutes fins utiles
This prototype, for all practical purposes, is identical to the final product; Ce prototype, pour toutes fins utiles, est identique au produit final
Their relationship, for all practical purposes, has ended; Leur relation, pour toutes fins utiles, est terminée
Despite the minor technical issues, the software is fully functional for all practical purposes; Malgré les petits problèmes techniques, le logiciel est pleinement fonctionnel pour toutes fins utiles
The old building, for all practical purposes, is beyond repair; Le vieux bâtiment, pour toutes fins utiles, est irréparable

a breath of fresh air; un souffle d'air frais
The new manager was a breath of fresh air for the team; Le nouveau manager a été un souffle d'air frais pour l'équipe
After the long winter, the arrival of spring was a much-needed breath of fresh air; Après l'hiver long, l'arrivée du printemps a été un souffle d'air frais bienvenu
Her innovative ideas were like a breath of fresh air in the stale corporate environment; Ses idées innovantes étaient comme un souffle d'air frais dans l'environnement corporatif stagnant
The vacation was a breath of fresh air after months of hard work; Les vacances ont été un souffle d'air frais après des mois de dur labeur

Expression: for all purposes; à toutes fins utiles
for all purposes; pour tous les usages
The new software is versatile and efficient, suitable for all purposes.; Le nouveau logiciel est polyvalent et efficace, adapté pour tous les usages.

for all intents and purposes; pour tous les effets et fins
The contract may not be official yet, but for all intents and purposes, we have an agreement.; Le contrat n'est peut-être pas encore officiel, mais pour tous les effets et fins, nous avons un accord.

for all practical purposes; pour toutes fins utiles
The store closes at 6 p.m., but for all practical purposes, they stop serving customers at 5:30 p.m.; Le magasin ferme à 18h, mais pour toutes fins utiles, ils arrêtent de servir les clients à 17h30.

for all the world; comme s'il en allait du monde
He defended his position with such passion, as if it mattered for all the world.; Il a défendu sa position avec tant de passion, comme s'il en allait du monde.

for all we know; pour autant que nous sachions
The missing book could be anywhere, for all we know, it might have been misplaced.; Le livre manquant pourrait être n'importe où, pour autant que nous sachions, il aurait pu être égaré.

for all you know; pour tout ce que tu sais
You might be surprised at the truth, for all you know, she could still be living in Paris.; Tu pourrais être surpris par la vérité, pour tout ce que tu sais, elle pourrait toujours vivre à Paris.

